# x_m,y_m,w_tr_right_m,w_tr_left_m
338.387849,17179.930292,70.362,69.638
340.733838,17155.049697,70.363,69.637
343.096025,17130.170659,70.364,69.636
345.473310,17105.293073,70.365,69.635
347.864594,17080.416831,70.366,69.634
350.268778,17055.541829,70.367,69.633
352.684761,17030.667960,70.368,69.632
355.111445,17005.795120,70.369,69.631
357.547730,16980.923201,70.370,69.630
359.992517,16956.052098,70.371,69.629
362.444705,16931.181705,70.372,69.628
364.903197,16906.311917,70.373,69.627
367.366891,16881.442627,70.374,69.626
369.834690,16856.573730,70.375,69.625
372.305492,16831.705120,70.376,69.624
374.778200,16806.836691,70.377,69.623
377.251712,16781.968338,70.379,69.621
379.724931,16757.099954,70.380,69.620
382.196756,16732.231433,70.381,69.619
384.666194,16707.362680,70.382,69.618
387.133049,16682.493677,70.383,69.617
389.597490,16657.624439,70.384,69.616
392.059688,16632.754984,70.385,69.615
394.519812,16607.885326,70.386,69.614
396.978035,16583.015484,70.387,69.613
399.434527,16558.145473,70.388,69.612
401.889457,16533.275310,70.389,69.611
404.342997,16508.405011,70.390,69.610
406.795318,16483.534594,70.391,69.609
409.246590,16458.664074,70.392,69.608
411.696984,16433.793467,70.393,69.607
414.146671,16408.922792,70.394,69.606
416.595820,16384.052063,70.395,69.605
419.044603,16359.181297,70.396,69.604
421.493191,16334.310511,70.397,69.603
423.941753,16309.439722,70.398,69.602
426.390461,16284.568945,70.399,69.601
428.839480,16259.698197,70.400,69.600
431.288877,16234.827485,70.401,69.599
433.738645,16209.956807,70.402,69.598
436.188772,16185.086163,70.403,69.597
438.639250,16160.215552,70.404,69.596
441.090067,16135.344973,70.405,69.595
443.541213,16110.474425,70.406,69.594
445.992678,16085.603907,70.407,69.593
448.444452,16060.733419,70.408,69.592
450.896524,16035.862959,70.409,69.591
453.348883,16010.992527,70.410,69.590
455.801521,15986.122122,70.411,69.589
458.254426,15961.251742,70.412,69.588
460.707587,15936.381387,70.413,69.587
463.160996,15911.511056,70.414,69.586
465.614641,15886.640749,70.415,69.585
468.068512,15861.770464,70.416,69.584
470.522598,15836.900200,70.417,69.583
472.976890,15812.029956,70.418,69.582
475.431377,15787.159733,70.419,69.581
477.886049,15762.289527,70.421,69.579
480.340896,15737.419340,70.422,69.578
482.795906,15712.549170,70.423,69.577
485.251071,15687.679015,70.424,69.576
487.706379,15662.808876,70.425,69.575
490.161820,15637.938751,70.426,69.574
492.617384,15613.068639,70.427,69.573
495.073061,15588.198540,70.428,69.572
497.528840,15563.328453,70.429,69.571
499.984711,15538.458376,70.430,69.570
