# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.349460,0.119598,7.369,6.631
1.513347,4.756576,6.794,7.206
3.367337,9.397098,6.990,7.010
5.214601,14.040303,7.074,6.926
7.057230,18.685328,7.048,6.952
8.897317,23.331311,6.908,7.092
10.736952,27.977389,6.715,7.285
12.578227,32.622700,6.733,7.267
14.423233,37.266382,6.749,7.251
16.274062,41.907573,6.771,7.229
18.132806,46.545410,6.831,7.169
20.001555,51.179031,6.951,7.049
21.882401,55.807573,6.964,7.036
23.777437,60.430175,6.984,7.016
25.688752,65.045974,6.979,7.021
27.618440,69.654108,6.975,7.025
29.568590,74.253714,7.127,6.873
31.541182,78.843975,7.190,6.810
33.536537,83.424729,7.085,6.915
35.553707,87.996317,7.016,6.984
37.591713,92.559091,7.157,6.843
39.649578,97.113404,7.159,6.841
41.726322,101.659609,7.182,6.818
43.820968,106.198058,6.922,7.078
45.932535,110.729105,6.907,7.093
48.060047,115.253101,6.858,7.142
50.202523,119.770399,6.905,7.095
52.358987,124.281353,6.971,7.029
54.528458,128.786314,7.023,6.977
56.709959,133.285636,7.068,6.932
58.902511,137.779672,7.097,6.903
61.105135,142.268773,7.113,6.887
63.316853,146.753293,7.122,6.878
65.536687,151.233584,7.123,6.877
67.763908,155.709918,7.116,6.884
69.998327,160.182391,7.096,6.904
72.239826,164.651078,7.070,6.930
74.488291,169.116052,7.037,6.963
76.743603,173.577385,6.992,7.008
79.005647,178.035152,6.948,7.052
81.274305,182.489426,6.890,7.110
83.549462,186.940280,6.826,7.174
85.831000,191.387788,6.757,7.243
88.118803,195.832023,6.685,7.315
90.412754,200.273058,6.761,7.239
92.712737,204.710967,6.822,7.178
95.018634,209.145824,6.884,7.116
97.330330,213.577701,6.937,7.063
99.647708,218.006672,6.982,7.018
101.970651,222.432810,7.020,6.980
104.299042,226.856190,7.059,6.941
106.632765,231.276883,7.088,6.912
108.971703,235.694965,7.108,6.892
111.315740,240.110507,7.124,6.876
113.664758,244.523585,7.140,6.860
116.018642,248.934270,7.144,6.856
118.377275,253.342636,7.142,6.858
120.740539,257.748757,7.136,6.864
