# x_m,y_m,w_tr_right_m,w_tr_left_m
4826.207537,6392.433342,73.681,66.319
4835.540296,6369.238710,70.809,69.191
4844.848662,6346.033727,67.934,72.066
4854.135230,6322.819504,68.912,71.088
4863.402594,6299.597150,69.893,70.107
4872.653349,6276.367777,70.314,69.686
4881.890092,6253.132494,70.735,69.265
4891.115417,6229.892412,70.606,69.394
4900.331920,6206.648642,70.477,69.523
4909.542195,6183.402293,69.778,70.222
4918.748838,6160.154477,69.079,70.921
4927.954444,6136.906304,68.115,71.885
4937.161609,6113.658884,67.153,72.847
4946.372927,6090.413327,67.244,72.756
4955.590994,6067.170744,67.335,72.665
4964.818405,6043.932246,67.416,72.584
4974.057755,6020.698942,67.497,72.503
4983.311639,5997.471944,67.609,72.391
4992.582654,5974.252361,67.721,72.279
5001.873392,5951.041304,68.022,71.978
5011.186451,5927.839883,68.324,71.676
5020.524426,5904.649210,68.925,71.075
5029.889910,5881.470393,69.524,70.476
5039.285501,5858.304544,69.590,70.410
5048.713792,5835.152773,69.656,70.344
5058.177380,5812.016191,69.766,70.234
5067.678858,5788.895907,69.876,70.124
5077.220824,5765.793032,69.842,70.158
5086.805871,5742.708678,69.809,70.191
5096.436595,5719.643953,69.789,70.211
5106.115591,5696.599969,69.773,70.227
5115.845455,5673.577835,70.534,69.466
5125.628781,5650.578663,71.291,68.709
5135.468160,5627.603561,71.606,68.394
5145.365099,5604.653188,71.917,68.083
5155.318709,5581.727216,71.392,68.608
5165.327779,5558.825179,70.868,69.132
5175.391098,5535.946616,70.523,69.477
5185.507456,5513.091062,70.182,69.818
5195.675641,5490.258053,70.904,69.096
5205.894444,5467.447128,71.622,68.378
5216.162652,5444.657821,71.614,68.386
5226.479056,5421.889671,71.607,68.393
5236.842444,5399.142212,71.722,68.278
5247.251606,5376.414982,71.832,68.168
5257.705331,5353.707518,70.532,69.468
5268.202408,5331.019356,69.235,70.765
5278.741627,5308.350032,69.159,70.841
5289.321776,5285.699084,69.084,70.916
5299.941645,5263.066047,68.838,71.162
5310.600023,5240.450459,68.593,71.407
5321.295699,5217.851855,68.828,71.172
5332.027463,5195.269773,69.063,70.937
5342.794103,5172.703749,69.392,70.608
5353.594409,5150.153319,69.721,70.279
5364.427171,5127.618021,69.981,70.019
5375.291176,5105.097390,70.240,69.760
5386.185215,5082.590963,70.465,69.535
5397.108077,5060.098278,70.689,69.311
5408.058550,5037.618870,70.834,69.166
5419.035425,5015.152276,70.978,69.022
5430.037490,4992.698032,71.058,68.942
5441.063535,4970.255676,71.138,68.862
5452.112348,4947.824744,71.183,68.817
5463.182720,4925.404771,71.228,68.772
5474.273438,4902.995296,71.232,68.768
5485.383305,4880.595858,71.237,68.763
5496.511565,4858.206157,71.202,68.798
5507.658032,4835.826091,71.167,68.833
5518.822557,4813.455576,71.067,68.933
5530.004992,4791.094524,70.967,69.033
5541.205188,4768.742848,70.837,69.163
5552.422995,4746.400463,70.708,69.292
5563.658266,4724.067281,70.543,69.457
5574.910850,4701.743217,70.378,69.622
5586.180600,4679.428183,70.153,69.847
5597.467366,4657.122094,69.928,70.072
5608.771000,4634.824862,69.708,70.292
5620.091352,4612.536401,69.488,70.512
5631.428274,4590.256625,69.198,70.802
5642.781617,4567.985447,68.908,71.092
5654.151232,4545.722781,68.589,71.411
5665.536970,4523.468539,68.269,71.731
5676.938683,4501.222636,67.925,72.075
5688.356221,4478.984986,67.580,72.420
5699.789436,4456.755500,67.220,72.780
5711.238178,4434.534094,66.860,73.140
5722.702300,4412.320680,67.232,72.768
5734.181652,4390.115172,67.614,72.386
5745.676085,4367.917484,67.918,72.082
5757.185450,4345.727529,68.222,71.778
5768.709599,4323.545220,68.532,71.468
5780.248383,4301.370470,68.842,71.158
5791.801652,4279.203195,69.107,70.893
5803.369258,4257.043306,69.372,70.628
5814.951053,4234.890717,69.597,70.403
5826.546887,4212.745342,69.822,70.178
5838.156611,4190.607095,70.013,69.987
5849.780076,4168.475888,70.203,69.797
5861.417134,4146.351636,70.398,69.602
5873.067631,4124.234260,70.594,69.406
5884.731409,4102.123687,70.739,69.261
5896.408310,4080.019841,70.884,69.116
5908.098177,4057.922651,70.984,69.016
5919.800853,4035.832043,71.084,68.916
5931.516180,4013.747943,71.164,68.836
5943.244000,3991.670278,71.244,68.756
5954.984156,3969.598974,71.324,68.676
5966.736491,3947.533958,71.404,68.596
5978.500847,3925.475157,71.425,68.575
5990.277067,3903.422496,71.445,68.555
6002.064992,3881.375902,71.436,68.564
6013.864466,3859.335303,71.426,68.574
6025.675331,3837.300623,71.396,68.604
6037.497429,3815.271791,71.366,68.634
6049.330604,3793.248732,71.341,68.659
6061.174697,3771.231373,71.315,68.685
6073.029551,3749.219641,71.261,68.739
6084.895008,3727.213461,71.206,68.794
6096.770911,3705.212761,71.087,68.913
6108.657103,3683.217467,70.967,69.033
6120.553426,3661.227505,70.852,69.148
6132.459722,3639.242803,70.736,69.264
6144.375834,3617.263286,70.607,69.393
6156.301604,3595.288881,70.476,69.524
6168.236875,3573.319515,70.307,69.693
6180.181490,3551.355114,70.137,69.863
6192.135291,3529.395604,69.957,70.043
6204.098120,3507.440913,69.777,70.223
6216.069820,3485.490966,69.562,70.438
6228.050233,3463.545690,69.346,70.654
6240.039202,3441.605012,69.116,70.884
6252.035961,3419.668544,68.885,71.115
6264.035391,3397.733654,68.654,71.346
6276.030484,3375.796734,68.423,71.577
6288.014222,3353.854172,68.220,71.780
6299.979588,3331.902355,68.019,71.981
6311.919565,3309.937673,67.870,72.130
6323.827137,3287.956513,67.723,72.277
6335.695285,3265.955262,67.691,72.309
6347.516994,3243.930310,67.665,72.335
6359.285245,3221.878043,67.704,72.296
6370.993022,3199.794851,67.746,72.254
6382.633307,3177.677121,67.956,72.044
6394.199084,3155.521240,68.173,71.827
6405.683335,3133.323598,68.567,71.433
6417.079043,3111.080581,68.969,71.031
6428.379192,3088.788579,69.572,70.428
6439.576877,3066.444042,70.184,69.816
6450.669290,3044.045716,71.028,68.972
6461.658780,3021.595234,71.882,68.118
6472.548025,2999.094412,72.953,67.047
6483.339699,2976.545066,74.034,65.966
6494.036480,2953.949015,74.160,65.840
6504.641044,2931.308073,74.246,65.754
6515.156068,2908.624058,73.456,66.544
6525.584229,2885.898787,72.632,67.368
6535.928202,2863.134076,71.978,68.022
6546.190665,2840.331741,71.330,68.670
6556.374294,2817.493600,70.866,69.134
6566.481766,2794.621468,70.409,69.591
6576.515757,2771.717163,70.088,69.912
6586.478944,2748.782501,69.771,70.229
6596.374003,2725.819299,69.483,70.517
6606.203611,2702.829373,69.196,70.804
6615.970685,2679.814498,68.931,71.069
6625.679062,2656.776289,68.668,71.332
6635.332803,2633.716322,68.535,71.465
6644.935967,2610.636174,68.406,71.594
6654.492614,2587.537419,68.358,71.642
6664.006804,2564.421634,68.313,71.687
6673.482597,2541.290396,68.320,71.680
6682.924052,2518.145280,68.329,71.671
6692.335229,2494.987862,68.420,71.580
6701.720188,2471.819719,68.514,71.486
6711.082989,2448.642427,68.665,71.335
6720.427692,2425.457562,68.818,71.182
6729.758355,2402.266699,68.996,71.004
6739.079040,2379.071415,69.176,70.824
6748.393806,2355.873286,69.361,70.639
6757.706712,2332.673888,69.546,70.454
6767.021532,2309.474689,69.737,70.263
6776.337998,2286.275620,69.927,70.073
6785.652852,2263.075477,70.128,69.872
6794.962762,2239.873029,70.329,69.671
6804.264399,2216.667044,70.544,69.456
6813.554433,2193.456290,70.761,69.239
6822.829533,2170.239536,71.018,68.982
6832.086369,2147.015551,71.278,68.722
6841.321611,2123.783103,71.588,68.412
6850.531930,2100.540961,71.901,68.099
6859.713994,2077.287894,72.256,67.744
6868.864474,2054.022669,72.612,67.388
6877.980040,2030.744056,73.026,66.974
6887.057362,2007.450824,73.442,66.558
6896.093108,1984.141739,72.387,67.613
6905.083950,1960.815573,71.261,68.739
6914.026567,1937.471095,70.691,69.309
6922.919290,1914.107701,70.145,69.855
6931.763972,1890.726106,69.805,70.195
6940.562921,1867.327200,69.474,70.526
6949.318443,1843.911871,69.248,70.752
6958.032844,1820.481006,69.028,70.972
6966.708432,1797.035494,68.868,71.132
6975.347512,1773.576222,68.712,71.288
6983.952392,1750.104079,68.632,71.368
6992.525378,1726.619953,68.555,71.445
7001.068777,1703.124731,68.540,71.460
7009.584894,1679.619301,68.528,71.472
7018.076037,1656.104553,68.567,71.433
7026.544513,1632.581373,68.610,71.390
7034.992628,1609.050649,68.696,71.304
7043.422688,1585.513271,68.785,71.215
7051.837000,1561.970125,68.897,71.103
7060.237871,1538.422099,69.010,70.990
7068.627607,1514.870083,69.138,70.862
7077.008515,1491.314963,69.267,70.733
7085.382902,1467.757628,69.425,70.575
7093.753073,1444.198966,69.584,70.416
7102.121337,1420.639864,69.740,70.260
7110.489998,1397.081212,69.896,70.104
7118.861365,1373.523896,70.052,69.948
7127.237743,1349.968805,70.209,69.791
7135.621439,1326.416827,70.343,69.657
7144.014759,1302.868849,70.476,69.524
7152.420011,1279.325761,70.591,69.409
7160.839501,1255.788450,70.705,69.295
7169.275535,1232.257803,70.788,69.212
7177.730420,1208.734710,70.868,69.132
7186.206462,1185.220057,70.914,69.086
7194.705911,1161.714708,70.957,69.043
7203.228963,1138.218628,70.956,69.044
7211.773287,1114.730678,70.953,69.047
7220.336390,1091.249649,70.912,69.088
7228.915783,1067.774330,70.869,69.131
7237.508974,1044.303512,70.800,69.200
7246.113473,1020.835987,70.730,69.270
