# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.076459,0.022588,6.924,7.076
-0.037767,-0.980478,6.930,7.070
0.001390,-1.983803,6.936,7.064
0.040983,-2.987377,6.942,7.058
0.080982,-3.991187,6.947,7.053
0.121358,-4.995224,6.953,7.047
0.162081,-5.999474,6.959,7.041
0.203120,-7.003928,6.965,7.035
0.244447,-8.008573,6.970,7.030
0.286031,-9.013399,6.976,7.024
0.327843,-10.018394,6.982,7.018
0.369852,-11.023546,6.988,7.012
0.412030,-12.028845,6.993,7.007
0.454346,-13.034279,6.999,7.001
0.496771,-14.039837,7.005,6.995
0.539274,-15.045507,7.011,6.989
0.581826,-16.051278,7.017,6.983
0.624398,-17.057139,7.022,6.978
0.666959,-18.063078,7.028,6.972
0.709479,-19.069085,7.034,6.966
0.751930,-20.075147,7.040,6.960
0.794280,-21.081254,7.045,6.955
0.836501,-22.087394,7.051,6.949
0.878563,-23.093556,7.057,6.943
0.920435,-24.099728,7.063,6.937
0.962088,-25.105899,7.068,6.932
1.003493,-26.112059,7.074,6.926
1.044618,-27.118195,7.080,6.920
1.085436,-28.124295,7.086,6.914
1.125915,-29.130350,7.091,6.909
1.166027,-30.136348,7.097,6.903
1.205741,-31.142276,7.103,6.897
1.245028,-32.148125,7.109,6.891
1.283857,-33.153882,7.115,6.885
1.322199,-34.159536,7.120,6.880
1.360025,-35.165076,7.126,6.874
1.397304,-36.170491,7.132,6.868
1.434007,-37.175769,7.138,6.862
1.470103,-38.180899,7.143,6.857
1.505564,-39.185870,7.149,6.851
1.540359,-40.190670,7.155,6.845
1.574459,-41.195288,7.161,6.839
1.607834,-42.199712,7.166,6.834
1.640453,-43.203932,7.172,6.828
1.672289,-44.207936,7.178,6.822
1.703347,-45.211721,7.184,6.816
1.733709,-46.215303,7.189,6.811
1.763462,-47.218698,7.195,6.805
1.792696,-48.221921,7.201,6.799
1.821497,-49.224991,7.207,6.793
1.849954,-50.227923,7.213,6.787
1.878156,-51.230734,7.218,6.782
1.906191,-52.233441,7.224,6.776
1.934147,-53.236060,7.230,6.770
1.962113,-54.238608,7.236,6.764
1.990176,-55.241101,7.241,6.759
2.018425,-56.243555,7.247,6.753
2.046948,-57.245988,7.253,6.747
2.075833,-58.248417,7.259,6.741
2.105169,-59.250856,7.264,6.736
2.135044,-60.253324,7.270,6.730
2.165546,-61.255836,7.276,6.724
2.196763,-62.258410,7.282,6.718
2.228785,-63.261061,7.287,6.713
2.261698,-64.263807,7.293,6.707
2.295591,-65.266664,7.299,6.701
2.330553,-66.269648,7.305,6.695
2.366671,-67.272776,7.311,6.689
2.404035,-68.276065,7.316,6.684
2.442732,-69.279531,7.322,6.678
2.482850,-70.283191,7.328,6.672
2.524478,-71.287061,7.334,6.666
2.567704,-72.291157,7.339,6.661
2.612616,-73.295498,7.345,6.655
2.659303,-74.300098,7.351,6.649
2.707853,-75.304975,7.357,6.643
2.758353,-76.310145,7.362,6.638
2.810893,-77.315624,7.368,6.632
2.865561,-78.321430,7.374,6.626
2.922444,-79.327579,7.380,6.620
2.981632,-80.334087,7.385,6.615
3.043212,-81.340971,7.391,6.609
3.107272,-82.348247,7.397,6.603
3.173902,-83.355933,7.403,6.597
3.243188,-84.364044,7.409,6.591
3.315220,-85.372597,7.414,6.586
3.390086,-86.381609,7.420,6.580
3.467956,-87.391061,7.426,6.574
3.550947,-88.400076,7.432,6.568
3.643149,-89.406911,7.437,6.563
3.748741,-90.409786,7.443,6.557
3.871903,-91.406918,7.415,6.585
4.016811,-92.396525,7.375,6.625
4.187647,-93.376825,7.335,6.665
4.388587,-94.346037,7.296,6.704
4.623811,-95.302379,7.256,6.744
4.897498,-96.244068,7.216,6.784
5.213825,-97.169323,7.176,6.824
5.576685,-98.076489,7.136,6.864
5.984948,-98.966123,7.096,6.904
6.433219,-99.840661,7.056,6.944
6.915969,-100.702599,7.048,6.952
7.427669,-101.554433,7.065,6.935
7.962787,-102.398659,7.082,6.918
8.515795,-103.237773,7.098,6.902
9.081163,-104.074270,7.115,6.885
9.653361,-104.910648,7.132,6.868
10.226858,-105.749400,7.149,6.851
10.796126,-106.593025,7.165,6.835
11.355908,-107.443878,7.182,6.818
11.904640,-108.302441,7.199,6.801
12.443402,-109.167852,7.216,6.784
12.973333,-110.039217,7.233,6.767
13.495573,-110.915645,7.250,6.750
14.011260,-111.796243,7.267,6.733
14.521533,-112.680119,7.284,6.716
15.027531,-113.566380,7.300,6.700
15.530393,-114.454135,7.317,6.683
16.031259,-115.342491,7.334,6.666
16.531266,-116.230556,7.351,6.649
17.031554,-117.117438,7.368,6.632
17.533262,-118.002243,7.385,6.615
18.037530,-118.884081,7.402,6.598
18.545494,-119.762058,7.419,6.581
19.058296,-120.635283,7.435,6.565
19.577073,-121.502863,7.452,6.548
20.102965,-122.363906,7.469,6.531
20.637111,-123.217519,7.486,6.514
21.180649,-124.062810,7.503,6.497
21.734718,-124.898887,7.520,6.480
22.300458,-125.724858,7.537,6.463
22.878956,-126.539793,7.554,6.446
23.470850,-127.342440,7.571,6.429
24.076550,-128.131379,7.587,6.413
24.696465,-128.905193,7.604,6.396
25.331002,-129.662461,7.621,6.379
25.980569,-130.401763,7.638,6.362
26.645573,-131.121682,7.655,6.345
27.326423,-131.820797,7.671,6.329
28.023527,-132.497688,7.688,6.312
28.737291,-133.150937,7.704,6.296
