# x_m,y_m,w_tr_right_m,w_tr_left_m
307.244362,1461.628119,69.238,70.762
308.211160,1486.619389,69.392,70.608
309.203758,1511.611603,69.535,70.465
310.217709,1536.604410,69.685,70.315
311.248566,1561.597453,69.831,70.169
312.291879,1586.590381,69.973,70.027
313.343203,1611.582839,70.125,69.875
314.398088,1636.574473,70.267,69.733
315.452087,1661.564931,70.415,69.585
316.500752,1686.553857,70.555,69.445
317.539635,1711.540899,70.697,69.303
318.564289,1736.525703,70.843,69.157
319.570266,1761.507914,70.980,69.020
320.553118,1786.487181,71.128,68.872
321.508396,1811.463147,71.265,68.735
322.431654,1836.435461,71.458,68.542
323.318444,1861.403769,71.546,68.454
324.164317,1886.367716,71.682,68.318
324.965416,1911.327019,71.825,68.175
325.726731,1936.282453,71.955,68.045
326.460084,1961.235607,72.090,67.910
327.177469,1986.188093,72.212,67.788
327.890882,2011.141521,72.340,67.660
328.612321,2036.097503,72.465,67.535
329.353781,2061.057649,72.588,67.412
330.127258,2086.023570,72.723,67.277
330.944748,2110.996878,72.853,67.147
331.818248,2135.979184,72.999,67.001
332.759753,2160.972098,73.142,66.858
333.781260,2185.977231,73.298,66.702
334.894765,2210.996195,73.466,66.534
336.112264,2236.030600,73.640,66.360
337.445753,2261.082058,73.835,66.165
338.907228,2286.152180,74.037,65.963
340.508686,2311.242576,74.263,65.737
342.262942,2336.354542,74.493,65.507
344.360483,2361.421189,74.672,65.328
347.390097,2386.222764,74.185,65.815
351.994758,2410.518719,73.008,66.992
358.817443,2434.068506,71.707,68.293
368.375672,2456.676769,70.423,69.577
380.254431,2478.484074,69.953,70.047
393.618627,2499.782313,70.535,69.465
407.631140,2520.864106,71.233,68.767
421.465375,2542.018278,71.941,68.059
434.708603,2563.384363,72.528,67.472
447.488474,2584.906969,72.980,67.020
459.969035,2606.517574,73.325,66.675
472.314331,2628.147659,73.617,66.383
484.688407,2649.728702,73.878,66.122
497.255308,2671.192183,74.135,65.865
510.179080,2692.469582,74.427,65.573
523.623769,2713.492377,74.814,65.186
537.754861,2734.173430,75.331,64.669
552.748577,2754.286960,75.933,64.067
568.785980,2773.544638,76.538,63.462
586.048158,2791.657829,77.028,62.972
604.712602,2808.338024,77.352,62.648
624.814974,2823.301628,77.561,62.439
646.205477,2836.271466,77.830,62.170
668.721799,2846.970798,78.220,61.780
692.201491,2855.123308,75.188,64.812
716.452736,2860.545445,71.121,68.879
741.217743,2863.262012,67.581,72.419
766.229731,2863.326219,68.555,71.445
791.221915,2860.791277,70.053,69.947
815.909295,2855.699597,71.557,68.443
839.871279,2848.013211,73.090,66.910
862.626129,2837.657903,74.153,65.847
883.691811,2824.559280,73.627,66.373
902.596876,2808.659720,73.080,66.920
919.029552,2790.154572,72.663,67.337
932.801649,2769.434957,73.235,66.765
943.728189,2746.897098,75.441,64.559
951.624182,2722.937554,76.763,63.237
956.301422,2698.026201,75.526,64.474
957.564504,2672.797138,74.235,65.765
955.217042,2647.906783,72.885,67.115
949.062651,2624.011556,72.312,67.688
938.986293,2601.700939,73.143,66.857
925.475782,2581.068372,74.217,65.783
909.289778,2561.984433,73.782,66.218
891.188231,2544.318639,72.888,67.112
871.926725,2527.936378,71.911,68.089
852.090485,2512.541980,70.787,69.213
832.043093,2497.630236,69.565,70.435
812.133281,2482.681897,68.331,71.669
792.709472,2467.178360,67.208,72.792
774.053744,2450.738940,66.154,73.846
756.299823,2433.291333,65.021,74.979
739.561314,2414.805063,63.843,76.157
723.951823,2395.249657,63.618,76.382
709.582782,2374.611982,65.226,74.774
696.549522,2353.007443,66.840,73.160
684.940141,2330.609195,68.318,71.682
674.842703,2307.590667,68.135,71.865
666.335029,2284.120708,67.647,72.353
659.341128,2260.299374,67.157,72.843
653.666317,2236.173633,66.864,73.136
649.112844,2211.789082,66.837,73.163
645.482957,2187.191316,66.841,73.159
642.578903,2162.425933,66.873,73.127
640.202929,2137.538528,66.914,73.086
638.157284,2112.574697,66.926,73.074
636.244215,2087.580037,66.890,73.110
634.299362,2062.592446,66.798,73.202
632.292445,2037.618910,66.706,73.294
630.226834,2012.658660,66.622,73.378
628.105899,1987.710925,66.543,73.457
625.933010,1962.774934,66.460,73.540
623.711535,1937.849919,66.394,73.606
621.444845,1912.935107,66.324,73.676
619.136309,1888.029730,66.264,73.736
616.789297,1863.133016,66.212,73.788
614.407178,1838.244196,66.155,73.845
611.993323,1813.362499,66.113,73.887
609.551099,1788.487155,66.071,73.929
607.083878,1763.617393,66.029,73.971
604.595029,1738.752444,65.997,74.003
602.087921,1713.891537,65.968,74.032
599.565925,1689.033901,65.931,74.069
597.032409,1664.178767,65.905,74.095
594.490743,1639.325365,65.877,74.123
591.944297,1614.472923,65.847,74.153
589.396440,1589.620672,65.822,74.178
586.850542,1564.767841,65.789,74.211
584.309973,1539.913660,65.761,74.239
581.778103,1515.057359,65.733,74.267
579.258300,1490.198168,65.692,74.308
576.753935,1465.335315,65.660,74.340
574.268376,1440.468032,65.625,74.375
571.804995,1415.595547,65.575,74.425
569.367159,1390.717091,65.533,74.467
566.958240,1365.831893,65.486,74.514
564.581606,1340.939182,65.428,74.572
562.240627,1316.038189,65.375,74.625
559.938673,1291.128144,65.313,74.687
557.679113,1266.208275,65.249,74.751
555.465318,1241.277813,65.187,74.813
553.303292,1216.336263,65.117,74.883
551.303386,1191.394013,65.124,74.876
549.713195,1166.475521,65.112,74.888
548.931533,1141.566201,65.007,74.993
549.676725,1116.561434,64.706,75.294
552.783388,1091.545815,63.747,76.253
559.379359,1067.417529,62.922,77.078
570.517730,1045.272608,62.435,77.565
586.142036,1026.151496,62.696,77.304
605.662918,1010.997908,62.687,77.313
628.012665,999.674419,62.766,77.234
651.768693,991.213731,62.891,77.109
676.034312,984.907369,62.811,77.189
700.612297,980.413310,62.888,77.112
725.380745,977.404809,63.092,76.908
750.281059,975.534008,63.216,76.784
775.263260,974.450172,63.165,76.835
800.277371,973.802567,62.962,77.038
825.282019,973.288207,62.726,77.274
850.270472,972.796356,62.590,77.410
875.244719,972.264650,62.547,77.453
900.206747,971.630730,62.552,77.448
925.158544,970.832232,62.590,77.410
950.102095,969.806797,62.626,77.374
975.039389,968.492061,62.621,77.379
999.972414,966.825664,62.574,77.426
1024.903113,964.747502,62.452,77.548
1049.831751,962.286600,62.334,77.666
1074.756396,959.588558,62.298,77.702
1099.674966,956.806846,62.314,77.686
1124.585381,954.094935,62.346,77.654
1149.485559,951.606295,62.374,77.626
1174.373420,949.494398,62.353,77.647
1199.246881,947.912713,62.278,77.722
1224.103862,947.014711,62.143,77.857
1248.942578,946.959136,61.974,78.026
1273.763453,947.944070,61.863,78.137
1298.567911,950.185380,61.851,78.149
1323.357381,953.899017,62.083,77.917
1348.125417,959.302375,62.922,77.078
1372.553736,966.669908,63.675,76.325
1395.915607,976.350808,64.377,75.623
1417.456661,988.699325,65.170,74.830
1436.422528,1004.069709,66.206,73.794
1452.230274,1022.634583,67.459,72.541
1464.988843,1043.833550,68.461,71.539
1474.981700,1066.921317,67.168,72.832
1482.492309,1091.152592,65.627,74.373
1487.802517,1115.808201,64.548,75.452
1491.169736,1140.563763,64.521,75.479
1492.832435,1165.400870,64.675,75.325
1493.028592,1190.309103,65.014,74.986
1491.992752,1215.276842,65.449,74.551
1489.824047,1240.244977,65.969,74.031
1486.444449,1265.092271,66.522,73.478
1481.763967,1289.693295,66.896,73.104
1475.692610,1313.922615,66.842,73.158
1468.140384,1337.654801,66.634,73.366
1459.017299,1360.764421,66.274,73.726
1448.233362,1383.126044,65.787,74.213
1435.698581,1404.614237,65.285,74.715
1421.337168,1425.091390,64.867,75.133
1405.179271,1444.329041,64.659,75.341
1387.302908,1462.057678,64.700,75.300
1367.786329,1478.007588,64.884,75.116
1346.710771,1491.902779,65.040,74.960
1324.275548,1503.218896,64.996,75.004
1300.834539,1511.106485,64.741,75.259
1276.752069,1514.694112,64.406,75.594
1252.393137,1513.113454,64.931,75.069
1228.269672,1506.174298,65.736,74.264
1205.223482,1495.208902,66.350,73.650
1183.987097,1481.553874,66.857,73.143
1164.672670,1465.728745,67.858,72.142
1147.169157,1448.085798,69.303,70.697
1130.865821,1429.260877,70.808,69.192
1114.926880,1410.017535,72.135,67.865
1098.515465,1391.119943,73.175,66.825
1080.805229,1373.331109,73.953,66.047
1061.383384,1357.368363,74.751,65.249
1040.377048,1343.889405,75.502,64.498
1017.949691,1333.547918,74.933,65.067
994.264781,1326.997587,74.599,65.401
969.576790,1324.726299,74.566,65.434
944.505777,1326.555863,75.735,64.265
919.763598,1332.140844,76.725,63.275
896.062109,1341.135804,77.689,62.311
874.144004,1353.271223,78.956,61.044
854.980636,1368.840451,80.317,59.683
839.626655,1388.308740,77.129,62.871
828.845112,1410.926204,73.698,66.302
823.154048,1435.021629,71.423,68.577
822.296334,1459.543076,70.799,69.201
825.015332,1484.274602,70.570,69.430
829.987599,1509.056141,70.383,69.617
835.891491,1533.727923,70.298,69.702
841.787017,1558.193192,70.414,69.586
847.585586,1582.495756,70.584,69.416
853.313788,1606.698442,70.724,69.276
858.998213,1630.864074,70.748,69.252
864.646901,1655.055808,70.601,69.399
870.130713,1679.339219,70.372,69.628
875.258995,1703.780971,70.196,69.804
879.840805,1728.447735,70.229,69.771
883.730619,1753.389176,70.583,69.417
887.463514,1778.400171,71.055,68.945
892.098990,1803.079271,71.373,68.627
898.710068,1827.019968,71.268,68.732
908.367692,1849.815219,71.618,68.382
921.700294,1870.944595,73.630,66.370
938.348136,1889.634461,76.194,63.806
957.817642,1905.076886,74.377,65.623
979.615232,1916.463939,72.418,67.582
1003.230156,1923.241174,70.848,69.152
1028.024939,1926.724588,69.581,70.419
1053.305386,1929.067357,68.069,71.931
1078.377035,1932.426587,66.584,73.416
1102.546916,1938.930221,65.372,74.628
1125.179702,1949.576923,65.520,74.480
1145.714825,1963.900833,66.311,73.689
1163.596703,1981.338460,67.122,72.878
1178.271152,2001.326402,67.281,72.719
1189.476500,2023.319309,67.079,72.921
1197.601507,2046.811984,66.744,73.256
1203.122603,2071.304641,66.359,73.641
1206.516218,2096.297493,66.408,73.592
1208.261986,2121.336404,66.538,73.462
1208.863141,2146.303214,66.779,73.221
1208.833451,2171.229795,67.079,72.921
1208.686733,2196.148716,67.378,72.622
1208.912715,2221.091036,67.596,72.404
1209.642258,2246.065282,67.805,72.195
1210.730772,2271.062696,68.048,71.952
1212.026631,2296.074075,68.301,71.699
1213.378207,2321.090215,68.568,71.432
1214.633873,2346.101916,68.817,71.183
1215.642003,2371.099975,69.030,70.970
1216.250967,2396.075190,69.215,70.785
1216.309141,2421.018357,69.363,70.637
1215.746827,2445.928559,69.547,70.453
1214.821353,2470.837938,69.774,70.226
1213.871627,2495.786886,70.035,69.965
1213.236558,2520.815795,70.315,69.685
1213.257700,2545.955901,70.583,69.417
1214.316132,2571.101755,70.834,69.166
1216.823315,2596.042825,71.047,68.953
1221.191490,2620.565883,71.687,68.313
1227.831845,2644.457959,74.112,65.888
1236.934006,2667.559793,75.968,64.032
1248.193983,2689.831791,74.729,65.271
1261.241111,2711.250523,73.573,66.427
1275.704723,2731.792560,72.697,67.303
1291.227087,2751.454055,72.878,67.122
1307.545912,2770.375690,73.028,66.972
1324.441628,2788.762833,73.115,66.885
1341.694863,2806.821160,73.182,66.818
1359.093735,2824.749301,73.270,66.730
1376.538256,2842.640617,73.371,66.629
1394.014521,2860.507489,73.491,66.509
1411.510833,2878.360216,73.608,66.392
1429.015495,2896.209100,73.733,66.267
1446.516812,2914.064443,73.863,66.137
1464.003087,2931.936543,73.995,66.005
1481.462624,2949.835704,74.140,65.860
1498.883726,2967.772224,74.285,65.715
1516.254698,2985.756406,74.420,65.580
1533.563842,3003.798550,74.556,65.444
1550.799463,3021.908956,74.688,65.312
1567.949864,3040.097927,74.815,65.185
1585.003350,3058.375761,74.947,65.053
1601.948222,3076.752761,75.064,64.936
1618.772787,3095.239227,75.175,64.825
1635.465346,3113.845461,75.281,64.719
1652.014801,3132.581166,75.382,64.618
1668.537492,3151.328902,75.469,64.531
1685.434558,3169.687080,75.546,64.454
1703.145744,3187.215597,75.658,64.342
1722.110795,3203.474347,75.891,64.109
1742.727081,3217.945098,76.265,63.735
1765.078123,3229.530959,76.215,63.785
1789.054406,3236.880779,75.614,64.386
1813.764348,3238.725834,74.891,65.109
1837.720744,3233.895209,74.369,65.631
1859.684785,3222.512353,74.289,65.711
1878.762428,3206.377324,73.831,66.169
1894.530741,3187.105326,72.792,67.208
1907.563737,3165.651254,71.535,68.465
1918.379095,3142.794503,70.770,69.230
1926.734820,3118.970046,70.351,69.649
1932.199818,3094.527121,69.858,70.142
1934.342994,3069.814966,70.337,69.663
1932.805635,3045.177701,71.841,68.159
1927.761251,3020.921803,73.541,66.459
1919.620826,2997.336954,74.525,65.475
1908.796447,2974.712758,74.812,65.188
1895.700078,2953.333410,75.098,64.902
1880.739177,2933.275091,75.191,64.809
1864.315369,2914.345084,74.533,65.467
1846.829893,2896.332829,73.658,66.342
1828.683509,2879.027913,72.802,67.198
1810.177762,2862.250456,72.018,67.982
1791.393929,2845.888360,71.279,68.721
1772.383652,2829.838647,70.587,69.413
1753.198575,2813.998337,69.925,70.075
1733.890338,2798.264452,69.170,70.830
1714.510585,2782.534013,68.618,71.382
1695.110958,2766.704041,67.951,72.049
1675.743098,2750.671558,67.268,72.732
1656.478150,2734.326291,66.491,73.509
1637.677502,2717.449414,65.757,74.243
1619.925171,2699.738832,65.061,74.939
1603.810856,2680.890330,64.405,75.595
1589.923390,2660.600486,64.490,75.510
1578.670995,2638.732274,65.092,74.908
1570.060378,2615.518582,65.571,74.429
1564.044140,2591.242141,66.007,73.993
